date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,21.4,20,23,,,,5.6,,1023.8,
2020-01-02 00:00:00,21.8,20,24,,,81,6.9,,1022.1,
2020-01-03 00:00:00,22.6,20,26,,,129,12.7,,1020.1,
2020-01-04 00:00:00,20.9,20,25,,,95,9.3,,1018.5,
2020-01-05 00:00:00,21.6,19,24,,,130,9.4,,1017.4,
2020-01-06 00:00:00,22.7,20,27,,,122,14.8,,1016,
2020-01-07 00:00:00,22.1,20,25,,,94,7.6,,1016.3,
2020-01-08 00:00:00,23.3,21,28,,,120,12.4,,1016.3,
2020-01-09 00:00:00,23.6,21,28,,,120,10.9,,1014.7,
2020-01-10 00:00:00,23.9,21,28,,,139,15.1,,1013.1,
2020-01-11 00:00:00,19.6,17,26,,,88,15.7,,1014.1,
2020-01-12 00:00:00,16.7,14,18,,,41,10.9,,1017.7,
2020-01-13 00:00:00,16.7,15,18,,,35,4.6,,1015.6,
2020-01-14 00:00:00,20,17,22,,,,4.8,,1014.5,
2020-01-15 00:00:00,23.1,20,26,,,130,17.5,,1013,
2020-01-16 00:00:00,21.5,18,26,,,104,15.8,,1014.8,
2020-01-17 00:00:00,15.2,14,18,,,44,17,,1019,
2020-01-18 00:00:00,14.8,14,15,,,46,10.8,,1017.9,
2020-01-19 00:00:00,14.4,14,16,,,30,12.8,,1020.3,
2020-01-20 00:00:00,14.7,13,15,,,35,7.5,,1020.3,
2020-01-21 00:00:00,18.8,15,21,,,,6.1,,1018.9,
2020-01-22 00:00:00,21.5,18,24,,,232,8.3,,1016,
2020-01-23 00:00:00,23.4,21,27,,,122,15.4,,1013.9,
2020-01-24 00:00:00,21.3,21,23,,,101,13,,1013.7,
2020-01-25 00:00:00,15.6,13,20,,,43,18.9,,1014.3,
2020-01-26 00:00:00,15.9,13,19,,,24,12.2,,1018,
2020-01-27 00:00:00,14.7,13,16,,,44,11.3,,1016.9,
2020-01-28 00:00:00,14.7,14,16,,,29,11.2,,1018.8,
2020-01-29 00:00:00,14.2,14,16,,,356,9.2,,1022.2,
2020-01-30 00:00:00,15.8,10,20,,,22,6.2,,1021.8,
2020-01-31 00:00:00,17.3,12,20,,,104,8.2,,1020.1,
2020-02-01 00:00:00,15.9,15,17,,,21,5.1,,1018.8,
2020-02-02 00:00:00,18.1,16,20,,,,4.1,,1018.4,
2020-02-03 00:00:00,16.4,15,20,,,352,11.8,,1017.3,
2020-02-04 00:00:00,14,13,15,,,25,12.8,,1019.2,
2020-02-05 00:00:00,14.5,14,15,,,34,8,,1018.1,
2020-02-06 00:00:00,17.6,15,20,,,308,5.9,,1016,
2020-02-07 00:00:00,18.8,17,20,,,310,7.3,,1018.5,
2020-02-08 00:00:00,16.7,17,19,,,51,14.4,,1021.8,
2020-02-09 00:00:00,14.9,14,16,,,36,12.5,,1025.4,
2020-02-10 00:00:00,16.9,14,18,,,82,8.3,,1021.6,
2020-02-11 00:00:00,19.3,16,22,,,,6.9,,1018,
2020-02-12 00:00:00,20.8,18,23,,,315,7,,1015.1,
2020-02-13 00:00:00,21.6,20,22,,,134,7.3,,1011,
2020-02-14 00:00:00,23.6,22,27,,,104,12.7,,1007.5,
2020-02-15 00:00:00,24,23,28,,,95,11.2,,1009.4,
2020-02-16 00:00:00,17.7,17,23,,,30,20,,1020.8,
2020-02-17 00:00:00,17.6,16,20,,,46,11.1,,1026,
2020-02-18 00:00:00,17.7,15,21,,,70,9.2,,1024.7,
2020-02-19 00:00:00,18.8,15,21,,,50,6.7,,1022.3,
2020-02-20 00:00:00,18.1,18,19,,,314,7.2,,1022.1,
2020-02-21 00:00:00,19.2,17,22,,,290,9.4,,1024.9,
2020-02-22 00:00:00,19.4,17,24,,,292,6.9,,1025.5,
2020-02-23 00:00:00,20.9,16,25,,,80,6.8,,1022.5,
2020-02-24 00:00:00,21.8,17,26,,,119,10.8,,1018.2,
2020-02-25 00:00:00,21.8,18,26,,,120,10.2,,1016.4,
2020-02-26 00:00:00,22.7,18,27,,,100,10.5,,1016.9,
2020-02-27 00:00:00,24.1,20,28,,,122,9.9,,1016.8,
2020-02-28 00:00:00,23.9,21,27,,,129,12.6,,1015.1,
2020-02-29 00:00:00,23.8,21,27,,,129,13.2,,1012.8,
2020-03-01 00:00:00,24.1,22,26,,,112,12.9,,1012.5,
2020-03-02 00:00:00,23.2,22,25,,,124,13.9,,1013.1,
2020-03-03 00:00:00,22.8,20,25,,,112,14,,1013.4,
2020-03-04 00:00:00,17.3,17,23,,,51,12.6,,1016.6,
2020-03-05 00:00:00,16.7,15,18,,,47,11.7,,1018.5,
2020-03-06 00:00:00,20.3,16,23,,,67,8.5,,1014.4,
