date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
2025-01-01 00:00:00;19.9;12;25;0;;;6.1;;1016.8;
2025-01-03 00:00:00;20.4;15;26;0;;;5.9;;1019.8;
2025-01-04 00:00:00;20.1;13;24;0;;;7.7;;1018.8;
2025-01-05 00:00:00;19.1;14;24;0;;;6;;1020.4;
2025-01-06 00:00:00;18.5;13;24;0;;;8.1;;1017.7;
2025-01-08 00:00:00;20.1;17;24;0;;;10.1;;1017.9;
2025-01-09 00:00:00;19.3;17;23;0;;;13.5;;1021.3;
2025-01-10 00:00:00;16.4;15;18;0;;;13.8;;1027.9;
2025-01-12 00:00:00;14.5;9;21;0;;;6;;1026.8;
2025-01-13 00:00:00;15;7;21;0;;;5.5;;1021.9;
2025-01-14 00:00:00;16.4;12;23;0;;;5.9;;1021;
2025-01-15 00:00:00;19.5;15;24;0.1;;;8.6;;1024.2;
2025-01-16 00:00:00;18.7;13;23;0;;;9.4;;1024.6;
2025-01-17 00:00:00;17.3;12;22;0;;;10.2;;1021;
2025-01-18 00:00:00;15.9;13;18;0;;;10.7;;1019.1;
2025-01-19 00:00:00;18.3;16;23;0;;;8.9;;1017.1;
2025-01-20 00:00:00;19;15;24;0;;;8;;1015.5;
2025-01-22 00:00:00;19.5;16;21;0.2;;;7.1;;1015.2;
2025-01-23 00:00:00;19.9;18;22;0.1;;;11.7;;1014.4;
2025-01-24 00:00:00;20.3;18;24;0.4;;;13.9;;1011.2;
2025-01-25 00:00:00;21.8;20;24;3.1;;;12.7;;1012.6;
2025-01-27 00:00:00;15.5;14;19;0.1;;;10.1;;1023.8;
2025-01-28 00:00:00;14.4;12;17;0.2;;;9.2;;1025.1;
2025-01-29 00:00:00;14.2;11;19;0;;;6;;1023.3;
2025-01-30 00:00:00;17.1;11;23;0;;;10.1;;1016.2;
2025-01-31 00:00:00;20.5;18;25;0;;;13.2;;1012.5;
2025-02-01 00:00:00;21;19;24;2.5;;;12;;1010.8;
2025-02-02 00:00:00;21.6;20;24;0.8;;;13.6;;1011.9;
2025-02-03 00:00:00;16.8;15;20;3.3;;;16.7;;1020;
2025-02-04 00:00:00;17;15;20;0;;;11;;1021.7;
2025-02-05 00:00:00;16.7;15;19;0.3;;;11;;1017;
2025-02-06 00:00:00;15.1;14;16;2.1;;;10.1;;1015.6;
2025-02-07 00:00:00;14.6;13;17;4.9;;;15.3;;1021.6;
2025-02-08 00:00:00;14.3;13;16;0.4;;;14.1;;1025;
2025-02-09 00:00:00;14.6;13;17;0;;;9.7;;1023.6;
2025-02-10 00:00:00;15.4;13;18;0;;;5.7;;1020.4;
2025-02-11 00:00:00;18.3;15;23;0;;;7.4;;1017;
2025-02-12 00:00:00;19.1;16;22;0.4;;;8.3;;1016.7;
2025-02-13 00:00:00;19.2;18;22;2.2;;;9;;1017.4;
2025-02-14 00:00:00;19.8;18;22;0.2;;;9.9;;1015.4;
2025-02-15 00:00:00;20.7;19;23;0.3;;;12;;1013.1;
2025-02-16 00:00:00;16.8;15;21;1.7;;;16.7;;1016.8;
2025-02-17 00:00:00;16;15;17;0.6;;;7.5;;1019.2;
2025-02-18 00:00:00;15.3;15;16;2.6;;;10.7;;1020.2;
2025-02-19 00:00:00;15.6;15;16;0.9;;;5.7;;1019;
2025-02-21 00:00:00;18.8;17;20;0.5;;;11.3;;1019.5;
2025-02-22 00:00:00;17.8;16;19;0.7;;;8.9;;1020.3;
2025-02-23 00:00:00;16.2;15;18;2.3;;;16.1;;1024.5;
2025-02-24 00:00:00;13.5;12;14;2.4;;;12.9;;1027.7;
2025-02-25 00:00:00;13.8;13;15;7;;;6.2;;1025.7;
2025-02-27 00:00:00;18.3;15;23.6;0;;;7.7;;1017.2;
2025-02-28 00:00:00;20.5;18;23;0;;;10.3;;1015;
