date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
2024-01-01 00:00:00;22.8;19;28;0.2;;;10.7;;1016.8;
2024-01-02 00:00:00;23.4;21;27;0.1;;;11.7;;1016;
2024-01-03 00:00:00;19.5;17;22;9.7;;;13;;1019.9;
2024-01-04 00:00:00;19.1;17;21;0;;;8.8;;1019;
2024-01-05 00:00:00;;18;23;0;;;6.5;;1017.6;
2024-01-06 00:00:00;22.1;20;26;5;;;6.5;;1018.4;
2024-01-07 00:00:00;21.9;19;25;1.6;;;10.7;;1018.2;
2024-01-08 00:00:00;22.6;20;26;0.2;;;14.1;;1016;
2024-01-09 00:00:00;23.1;21;26;3;;;12.8;;1014.9;
2024-01-10 00:00:00;19.6;18;22;21.4;;;12.9;;1016.4;
2024-01-11 00:00:00;17.4;17;18;11.3;;;8.4;;1017.6;
2024-01-12 00:00:00;17.5;17;18;5.9;;;6.1;;1017.1;
2024-01-13 00:00:00;18.3;18;19;18.1;;;5.9;;1018;
2024-01-14 00:00:00;19.2;18;20;1.4;;;4.7;;1019.5;
2024-01-15 00:00:00;21.2;19;24;1.9;;;5.5;;1019.5;
2024-01-16 00:00:00;20.7;18;24;6.5;;;7.7;;1018.8;
2024-01-17 00:00:00;20.4;19;22;2.9;;;8.3;;1016.9;
2024-01-18 00:00:00;22.3;20;27;0.1;;;13.3;;1015.2;
2024-01-19 00:00:00;22.5;20;27;0.3;;;13;;1014;
2024-01-20 00:00:00;22.9;19;26;4;;;15;;1014.6;
2024-01-21 00:00:00;16;14;18;4.8;;;16.2;;1018.2;
2024-01-22 00:00:00;12.2;10;14;10.8;;;18;;1023.4;
2024-01-23 00:00:00;10.1;8;12;0.2;;;13.8;;1029;
2024-01-24 00:00:00;10;9;12;0;;;13.2;;1029.3;
2024-01-25 00:00:00;11.2;10;13;0;;;10;;1029.1;
2024-01-26 00:00:00;11.9;11;14;0;;;11.7;;1027.9;
2024-01-27 00:00:00;10.7;9;12;0;;;11.4;;1026.9;
2024-01-28 00:00:00;12.3;11;14;1.2;;;11.9;;1026.6;
2024-01-29 00:00:00;12.8;11;15;0.5;;;5.3;;1023.1;
2024-01-30 00:00:00;14.8;13;16;0;;;3.8;;1019.5;
2024-01-31 00:00:00;16.7;15;19;0;;;5.1;;1017.1;
2024-02-01 00:00:00;19;17;21;0;;;5.4;;1016;
2024-02-02 00:00:00;21.8;20;25;0.1;;;8.5;;1014.4;
2024-02-03 00:00:00;22.2;21;25;0.8;;;14.2;;1014.8;
2024-02-04 00:00:00;23.6;21;28;0.1;;;12.6;;1013.7;
2024-02-05 00:00:00;23.6;21;27;1.1;;;16.2;;1013.6;
2024-02-06 00:00:00;21.2;18;24;4.8;;;13.5;;1015.5;
2024-02-07 00:00:00;15.8;13;18;1.4;;;17.7;;1015.5;
2024-02-08 00:00:00;13.3;12;15;0.1;;;17.3;;1018.4;
2024-02-09 00:00:00;14.8;12;17;0;;;11.4;;1024.6;
2024-02-10 00:00:00;17.5;15;21;0;;;6.1;;1027.2;
2024-02-11 00:00:00;19.2;16;23;0;;;6.4;;1026.8;
2024-02-12 00:00:00;18.5;12;24;0;;;9.1;;1023.2;
2024-02-13 00:00:00;20.6;16;26;0;;;12.5;;1019.8;
2024-02-14 00:00:00;21.8;20;24;0.3;;;14.5;;1017.4;
2024-02-15 00:00:00;21.3;19;24;0.4;;;8;;1018;
2024-02-16 00:00:00;21.3;19;25;1;;;9.1;;1018.6;
2024-02-17 00:00:00;21;17;25;0.1;;;14.8;;1013.3;
2024-02-18 00:00:00;23.3;21;27;0;;;13.3;;1011.3;
2024-02-19 00:00:00;24.3;22;27;0;;;15.3;;1010.7;
2024-02-20 00:00:00;24;23;26;0.1;;;15.2;;1009.2;
2024-02-21 00:00:00;25.1;24;27;0;;;13.9;;1009.3;
2024-02-22 00:00:00;23.9;23;26;0.6;;;14;;1012.6;
2024-02-23 00:00:00;18.5;15;23;0.8;;;15.2;;1016.4;
2024-02-24 00:00:00;12.8;12;14;4.7;;;16.8;;1020.3;
2024-02-25 00:00:00;12.8;11;14;0.7;;;11.3;;1021;
2024-02-26 00:00:00;13.5;12;15;0;;;13.4;;1020.7;
2024-02-27 00:00:00;13.1;12;15;0.5;;;13.7;;1021;
2024-02-28 00:00:00;;12;15;0;;;10;;1017.1;
2024-02-29 00:00:00;14.6;13;16;0.2;;;12.4;;1018.2;
2024-03-01 00:00:00;14.3;13;16;0;;;13.9;;1021.7;
2024-03-02 00:00:00;14.7;13;17;0;;;10.4;;1022;
2024-03-03 00:00:00;16.7;14;19;0;;;11.7;;1014.7;
2024-03-04 00:00:00;18;16;20;0;;;5.6;;1007.3;
2024-03-05 00:00:00;23.1;19;30;0;;;6.8;;1004.4;
2024-03-06 00:00:00;24.2;20;29;0;;;10.5;;1007.2;
2024-03-07 00:00:00;21.9;20;24;0;;;11.6;;1013.1;
2024-03-08 00:00:00;19.8;18;21;0;;;7.5;;1015.2;
2024-03-09 00:00:00;17;16;19;2.3;;;9.1;;1015.2;
2024-03-10 00:00:00;16.7;16;18;1;;;10.3;;1016;
2024-03-11 00:00:00;19.8;16;25;0;;;11;;1018.6;
2024-03-12 00:00:00;20.7;17;25;0;;;11.4;;1015.9;
2024-03-13 00:00:00;20.4;19;23;1.4;;;10;;1012.8;
2024-03-14 00:00:00;20.2;19;21;4.4;;;8.4;;1013.6;
2024-03-15 00:00:00;21;19;23;4.4;;;8.6;;1011;
2024-03-16 00:00:00;23.2;22;25;0.9;;;10.3;;1012.9;
2024-03-17 00:00:00;23.4;22;25;0.6;;;10.2;;1013.6;
2024-03-18 00:00:00;23.9;23;26;0.3;;;11.6;;1013;
2024-03-19 00:00:00;19.4;17;23;35.5;;;12.6;;1019.4;
2024-03-20 00:00:00;20;18;23;0;;;6.1;;1022.3;
2024-03-21 00:00:00;21.4;17;26;0;;;12.3;;1014.9;
