date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,27.3,24.9,29.6,0.3,,31,8.2,,1015.8,
2020-01-02 00:00:00,28.2,24.3,31.2,0.3,,32,8.8,,1016.4,
2020-01-03 00:00:00,27.3,25.4,30.7,0,,30,7.9,,1015.3,
2020-01-04 00:00:00,27,22.5,30.8,,,20,6.9,,1013.5,
2020-01-05 00:00:00,27.9,24,30.4,,,45,8.2,,1013.5,
2020-01-06 00:00:00,27.8,25.5,31,,,39,7.9,,1013.8,
2020-01-07 00:00:00,27.5,24.5,30.6,,,32,6.8,,1013.2,
2020-01-08 00:00:00,27.4,24.4,31.2,,,35,6.8,,1012.7,
2020-01-09 00:00:00,27.2,24.6,30.1,,,66,6.8,,1012.2,
2020-01-10 00:00:00,27.3,24.4,30.5,,,66,6.4,,1010.8,
2020-01-11 00:00:00,27.5,23.5,30.2,,,94,6.4,,1010.2,
2020-01-12 00:00:00,26.9,24,30,,,192,6.7,,1009.8,
2020-01-13 00:00:00,27.1,24.9,28.8,,,333,6.6,,1009.7,
2020-01-14 00:00:00,27.3,24.5,29.2,,,6,6.6,,1011.1,
2020-01-15 00:00:00,27.1,24.6,29.5,0,,40,6.2,,1012.6,
2020-01-16 00:00:00,28,24,30.7,,,350,6.7,,1012.3,
2020-01-17 00:00:00,27.7,24.7,30.7,,,314,6.9,,1012.2,
2020-01-18 00:00:00,27.4,24.5,29.5,,,5,6.9,,1012.4,
2020-01-19 00:00:00,26.9,24.3,29.5,0,,69,6.6,,1013.4,
2020-01-20 00:00:00,26.8,23.8,29.3,,,95,7,,1015.1,
2020-01-21 00:00:00,27,24.5,31.4,,,91,8,,1016.9,
2020-01-22 00:00:00,27.7,23,30.9,,,71,8.5,,1016.4,
2020-01-23 00:00:00,28.3,24.1,31.8,,,58,8.2,,1014.9,
2020-01-24 00:00:00,25.7,24.9,28,,,357,7.2,,1013.7,
2020-01-25 00:00:00,26.4,23.5,29.3,4.3,,89,6.9,,1012.4,
2020-01-26 00:00:00,27.8,24.5,31,1.3,,216,8,,1010.8,
2020-01-27 00:00:00,27.8,24.8,31.5,0,,259,9,,1010.3,
2020-01-28 00:00:00,27.2,24,30.2,,,230,8.4,,1011.1,
2020-01-29 00:00:00,26.4,23.8,30,,,283,8.3,,1011.9,
2020-01-30 00:00:00,26.9,23.1,30.2,,,329,9.2,,1011.9,
2020-01-31 00:00:00,25.6,22,28.3,,,21,8.3,,1013.3,
2020-02-01 00:00:00,25.5,22,30.1,,,69,7.6,,1015.1,
2020-02-02 00:00:00,24.9,22.6,28,,,63,7.1,,1015.8,
2020-02-03 00:00:00,24.4,22.8,26.7,0,,73,7.8,,1015.8,
2020-02-04 00:00:00,26.4,21.5,29.2,0,,57,7.7,,1014.4,
2020-02-05 00:00:00,27.4,22.6,30.8,,,17,7.4,,1013,
2020-02-06 00:00:00,26.9,24.7,29.4,,,43,6.9,,1013.1,
2020-02-07 00:00:00,26,25.7,29.4,,,25,7,,1013.3,
2020-02-08 00:00:00,27,23.5,29.3,,,50,7.2,,1014,
2020-02-09 00:00:00,26.4,23.4,29.7,,,29,6.9,,1014.9,
2020-02-10 00:00:00,25.9,23.5,29,,,66,7.3,,1015.7,
2020-02-11 00:00:00,26.4,23.8,30.1,0,,84,8.4,,1017,
2020-02-12 00:00:00,27.4,22.5,32,,,97,8,,1016.3,
2020-02-13 00:00:00,25.8,22.7,28.8,,,101,8.3,,1015,
2020-02-14 00:00:00,27.4,23.5,30.9,,,115,8.3,,1013.4,
2020-02-15 00:00:00,28,24.2,32.6,,,107,9.3,,1013.5,
2020-02-16 00:00:00,27.5,23.5,31.7,,,119,8.2,,1013.8,
2020-02-17 00:00:00,27.3,24.5,30.2,,,34,7.3,,1014.7,
2020-02-18 00:00:00,27.1,25.3,31.3,0,,44,7.7,,1015.6,
2020-02-19 00:00:00,26.3,23,30.3,,,31,8.6,,1016.2,
2020-02-20 00:00:00,26.7,23,29,,,40,9.1,,1016.9,
2020-02-21 00:00:00,27.2,23.2,32,,,35,9.8,,1017.6,
2020-02-22 00:00:00,27.4,23.9,32.2,,,48,9.3,,1017.9,
2020-02-23 00:00:00,27.4,23.2,31.8,,,39,8.6,,1016.4,
2020-02-24 00:00:00,27.4,24.3,32,,,54,8.4,,1014.8,
2020-02-25 00:00:00,28,24.4,31.6,,,76,8.9,,1013.7,
2020-02-26 00:00:00,26.4,25.1,29.6,,,71,7.8,,1013.2,
2020-02-27 00:00:00,27.8,23.4,31.8,0,,76,8.7,,1013.1,
2020-02-28 00:00:00,27.8,24.5,32.3,,,81,8.5,,1012.9,
2020-02-29 00:00:00,28.1,24.8,32.5,,,114,8.3,,1012.5,
2020-03-01 00:00:00,27.8,24.6,31.5,,,129,8.6,,1012,
2020-03-02 00:00:00,28,24,32.5,,,122,9.2,,1012.2,
2020-03-03 00:00:00,27.7,24.5,31.3,,,88,8.6,,1012.8,
2020-03-04 00:00:00,28,25.3,30.4,,,100,8.4,,1012.3,
2020-03-05 00:00:00,28.4,24.1,31.5,,,81,8.7,,1012,
2020-03-06 00:00:00,28.7,25,33.1,,,212,7.7,,1012.2,
2020-03-07 00:00:00,29,24.9,33.3,,,222,7.8,,1011.9,
2020-03-08 00:00:00,29.4,26.2,32.8,,,208,8.2,,1010.7,
2020-03-09 00:00:00,30.1,26.4,35.2,,,187,8.7,,1009.9,
2020-03-10 00:00:00,29.1,26.9,32.8,,,200,8.3,,1010.8,
2020-03-11 00:00:00,29.3,26.9,31,,,151,8.2,,1012.8,
2020-03-12 00:00:00,29.7,26,33.8,,,113,10.2,,1013.8,
2020-03-13 00:00:00,29.3,25.3,32.6,,,150,9,,1014.3,
2020-03-14 00:00:00,27.6,25.5,32.8,,,179,8.9,,1012.6,
2020-03-15 00:00:00,29.1,25,32.7,,,172,7.7,,1012.7,
2020-03-16 00:00:00,27.6,26,29.5,,,73,7.8,,1013.7,
2020-03-17 00:00:00,27.8,25.5,30.7,,,90,8.3,,1014.5,
2020-03-18 00:00:00,28.6,25,32.4,,,118,8.9,,1013.4,
2020-03-19 00:00:00,28.7,24.5,33.5,,,153,8.6,,1012.7,
2020-03-20 00:00:00,29.1,25,33.4,,,136,8.5,,1012.8,
2020-03-21 00:00:00,31.1,25.5,32.2,,,124,8.6,,1013.1,
2020-03-22 00:00:00,29.7,26.5,35.4,,,143,8.6,,1012.7,
2020-03-23 00:00:00,29.7,25.9,34.5,,,139,8.9,,1011.9,
2020-03-24 00:00:00,29.7,25.8,33.6,,,131,8.8,,1011.3,
2020-03-25 00:00:00,29.7,26,33.8,,,108,10.5,,1011.1,
2020-03-26 00:00:00,30.1,25.5,33,,,106,10.4,,1012,
2020-03-27 00:00:00,30.5,25.7,34.6,,,109,9.6,,1012,
2020-03-28 00:00:00,30,26.3,34.2,,,130,9.3,,1011.1,
2020-03-29 00:00:00,30.3,26.5,34.9,,,126,9.4,,1010.8,
2020-03-30 00:00:00,29.8,26.7,34.3,,,137,9.3,,1010.6,
2020-03-31 00:00:00,30.4,26,35.5,,,151,9.4,,1011.3,
