date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,5.4,3.5,10.2,0,,324,9.4,,1021,
2020-01-02 00:00:00,5.8,1.9,11.3,0,,354,6.5,,1021,
2020-01-03 00:00:00,6.8,1.4,12,0,,324,5,,1016.5,
2020-01-04 00:00:00,6.3,4.3,12.2,0,,340,8.1,,1013.9,
2020-01-05 00:00:00,6.2,0.6,10.2,1,,339,10.9,,1020.8,
2020-01-06 00:00:00,7.8,3.1,12.2,0,,321,11.6,,1025.4,
2020-01-07 00:00:00,5.3,4.2,8.2,0,,347,7.3,,1025,
2020-01-08 00:00:00,6.7,3.8,7.3,2.5,,321,7.5,,1004.4,
2020-01-09 00:00:00,10,4.6,14.9,10.9,,328,14.1,,1008.2,
2020-01-10 00:00:00,8,5.5,12.6,0,,30,8.9,,1015.5,
2020-01-11 00:00:00,6.6,5.5,10.5,0,,350,6,,1015.4,
2020-01-12 00:00:00,7.5,2.5,10.2,0,,353,5.3,,1011.2,
2020-01-13 00:00:00,8.8,4.6,13.7,0,,8,6.2,,1011.1,
2020-01-14 00:00:00,8.8,4.7,13.5,0,,325,6.5,,1019.2,
2020-01-15 00:00:00,6.1,5.9,8.4,9.4,,323,8.9,,1016.3,
2020-01-16 00:00:00,6.8,3.9,10.9,5.6,,350,8.3,,1021,
2020-01-17 00:00:00,7.7,4.1,11.1,0,,359,9,,1019.1,
2020-01-18 00:00:00,3.1,1.9,7.1,1.5,,348,11.5,,1013.6,
2020-01-19 00:00:00,6.5,1.9,11.1,7.1,,48,8.2,,1014.4,
2020-01-20 00:00:00,8.3,2,14.1,0,,284,6.7,,1012.1,
2020-01-21 00:00:00,6.6,4.2,11.8,0,,326,13.3,,1019.5,
2020-01-22 00:00:00,5.4,2,7.3,0,,331,6.7,,1028.3,
2020-01-23 00:00:00,7.1,4.1,8.3,0.5,,324,6.4,,1021.5,
2020-01-24 00:00:00,9.4,7.6,13.4,2,,330,6,,1021.7,
2020-01-25 00:00:00,7.3,5.9,10.2,0,,15,9.4,,1027.4,
2020-01-26 00:00:00,4.9,2.7,7.3,6.1,,334,5.1,,1026.8,
2020-01-27 00:00:00,4.1,3.2,6.5,0,,354,7.1,,1025.9,
2020-01-28 00:00:00,6.4,0.6,7,17,,336,12.6,,1018.1,
2020-01-29 00:00:00,12,6.8,18.6,71.4,,307,8.8,,1002.2,
2020-01-30 00:00:00,11.5,6.8,17.5,0,,350,7.4,,998.5,
2020-01-31 00:00:00,6.9,4.7,12.1,0,,327,17.6,,1004.1,
2020-02-01 00:00:00,8.2,3,13.4,0,,313,12.5,,1014.3,
2020-02-02 00:00:00,8.8,5,13.8,0,,341,10.3,,1021.1,
2020-02-03 00:00:00,9.3,5.4,15.2,0,,287,8.3,,1017.5,
2020-02-04 00:00:00,7.4,4.9,11.4,0,,46,8.5,,1019.4,
